Single capacitor:
60  (x1)
840/47 = 17.8723  (x9)
840/47 = 17.8723  (x10)
340/19 = 17.8947  (x10)
1200/67 = 17.9104  (x10)
18  (x6)
18  (x8)
18  (x9)
18  (x10)
380/21 = 18.0952  (x10)
960/53 = 18.1132  (x10)
780/43 = 18.1395  (x10)
200/11 = 18.1818  (x9)
200/11 = 18.1818  (x10)
255/14 = 18.2143  (x10)
1440/79 = 18.2278  (x10)
420/23 = 18.2609  (x8)
1080/59 = 18.3051  (x10)
55/3 = 18.3333  (x9)
900/49 = 18.3673  (x9)
900/49 = 18.3673  (x10)
240/13 = 18.4615  (x7)
240/13 = 18.4615  (x8)
240/13 = 18.4615  (x10)
315/17 = 18.5294  (x10)
130/7 = 18.5714  (x10)
1320/71 = 18.5915  (x10)
540/29 = 18.6207  (x9)
540/29 = 18.6207  (x10)
56/3 = 18.6667  (x9)
56/3 = 18.6667  (x10)
75/4 = 18.75  (x7)
75/4 = 18.75  (x8)
75/4 = 18.75  (x10)
1260/67 = 18.806  (x10)
132/7 = 18.8571  (x10)
170/9 = 18.8889  (x10)
360/19 = 18.9474  (x7)
360/19 = 18.9474  (x9)
360/19 = 18.9474  (x10)
19  (x10)
780/41 = 19.0244  (x10)
400/21 = 19.0476  (x10)
210/11 = 19.0909  (x9)
210/11 = 19.0909  (x10)
440/23 = 19.1304  (x10)
900/47 = 19.1489  (x10)
115/6 = 19.1667  (x10)
96/5 = 19.2  (x9)
520/27 = 19.2593  (x10)
135/7 = 19.2857  (x8)
1140/59 = 19.322  (x10)
600/31 = 19.3548  (x8)
252/13 = 19.3846  (x10)
330/17 = 19.4118  (x9)
330/17 = 19.4118  (x10)
720/37 = 19.4595  (x9)
720/37 = 19.4595  (x10)
39/2 = 19.5  (x9)
840/43 = 19.5349  (x9)
450/23 = 19.5652  (x9)
255/13 = 19.6154  (x10)
216/11 = 19.6364  (x10)
1200/61 = 19.6721  (x10)
315/16 = 19.6875  (x10)
1320/67 = 19.7015  (x10)
138/7 = 19.7143  (x10)
1440/73 = 19.726  (x10)
375/19 = 19.7368  (x10)
1560/79 = 19.7468  (x10)
20  (x3)
20  (x6)
20  (x8)
20  (x9)
20  (x10)
81/4 = 20.25  (x10)
1560/77 = 20.2597  (x10)
750/37 = 20.2703  (x10)
1440/71 = 20.2817  (x10)
345/17 = 20.2941  (x10)
264/13 = 20.3077  (x10)
630/31 = 20.3226  (x10)
1200/59 = 20.339  (x10)
285/14 = 20.3571  (x10)
1080/53 = 20.3774  (x10)
960/47 = 20.4255  (x9)
225/11 = 20.4545  (x9)
840/41 = 20.4878  (x9)
840/41 = 20.4878  (x10)
390/19 = 20.5263  (x9)
390/19 = 20.5263  (x10)
144/7 = 20.5714  (x9)
144/7 = 20.5714  (x10)
1380/67 = 20.597  (x10)
165/8 = 20.625  (x8)
1260/61 = 20.6557  (x10)
600/29 = 20.6897  (x8)
145/7 = 20.7143  (x10)
270/13 = 20.7692  (x9)
104/5 = 20.8  (x10)
1020/49 = 20.8163  (x10)
125/6 = 20.8333  (x10)
480/23 = 20.8696  (x9)
480/23 = 20.8696  (x10)
230/11 = 20.9091  (x10)
900/43 = 20.9302  (x9)
900/43 = 20.9302  (x10)
440/21 = 20.9524  (x10)
21  (x7)
21  (x9)
21  (x10)
400/19 = 21.0526  (x10)
780/37 = 21.0811  (x10)
1500/71 = 21.1268  (x10)
360/17 = 21.1765  (x7)
360/17 = 21.1765  (x8)
360/17 = 21.1765  (x9)
360/17 = 21.1765  (x10)
85/4 = 21.25  (x9)
85/4 = 21.25  (x10)
660/31 = 21.2903  (x9)
405/19 = 21.3158  (x10)
64/3 = 21.3333  (x10)
1560/73 = 21.3699  (x10)
150/7 = 21.4286  (x7)
150/7 = 21.4286  (x8)
150/7 = 21.4286  (x10)
1140/53 = 21.5094  (x9)
1140/53 = 21.5094  (x10)
280/13 = 21.5385  (x9)
345/16 = 21.5625  (x10)
108/5 = 21.6  (x8)
108/5 = 21.6  (x10)
930/43 = 21.6279  (x10)
1320/61 = 21.6393  (x10)
65/3 = 21.6667  (x9)
65/3 = 21.6667  (x10)
1800/83 = 21.6867  (x10)
1020/47 = 21.7021  (x10)
630/29 = 21.7241  (x10)
500/23 = 21.7391  (x10)
240/11 = 21.8182  (x6)
240/11 = 21.8182  (x8)
240/11 = 21.8182  (x9)
240/11 = 21.8182  (x10)
810/37 = 21.8919  (x10)
460/21 = 21.9048  (x10)
285/13 = 21.9231  (x9)
285/13 = 21.9231  (x10)
900/41 = 21.9512  (x9)
1560/71 = 21.9718  (x10)
22  (x8)
1740/79 = 22.0253  (x10)
1080/49 = 22.0408  (x9)
1080/49 = 22.0408  (x10)
375/17 = 22.0588  (x10)
420/19 = 22.1053  (x7)
420/19 = 22.1053  (x8)
420/19 = 22.1053  (x10)
155/7 = 22.1429  (x10)
288/13 = 22.1538  (x10)
510/23 = 22.1739  (x9)
1620/73 = 22.1918  (x10)
200/9 = 22.2222  (x8)
200/9 = 22.2222  (x9)
200/9 = 22.2222  (x10)
690/31 = 22.2581  (x10)
156/7 = 22.2857  (x9)
156/7 = 22.2857  (x10)
960/43 = 22.3256  (x9)
960/43 = 22.3256  (x10)
380/17 = 22.3529  (x9)
1320/59 = 22.3729  (x10)
112/5 = 22.4  (x10)
1860/83 = 22.4096  (x10)
45/2 = 22.5  (x5)
45/2 = 22.5  (x8)
45/2 = 22.5  (x10)
384/17 = 22.5882  (x10)
1740/77 = 22.5974  (x10)
1380/61 = 22.623  (x10)
1200/53 = 22.6415  (x9)
1200/53 = 22.6415  (x10)
68/3 = 22.6667  (x9)
68/3 = 22.6667  (x10)
840/37 = 22.7027  (x9)
840/37 = 22.7027  (x10)
250/11 = 22.7273  (x10)
660/29 = 22.7586  (x8)
660/29 = 22.7586  (x10)
1800/79 = 22.7848  (x10)
114/5 = 22.8  (x9)
114/5 = 22.8  (x10)
1620/71 = 22.8169  (x10)
160/7 = 22.8571  (x7)
160/7 = 22.8571  (x10)
435/19 = 22.8947  (x10)
252/11 = 22.9091  (x9)
252/11 = 22.9091  (x10)
2040/89 = 22.9213  (x10)
390/17 = 22.9412  (x8)
390/17 = 22.9412  (x9)
620/27 = 22.963  (x10)
1080/47 = 22.9787  (x9)
23  (x10)
1680/73 = 23.0137  (x10)
990/43 = 23.0233  (x10)
300/13 = 23.0769  (x6)
300/13 = 23.0769  (x9)
300/13 = 23.0769  (x10)
1920/83 = 23.1325  (x10)
162/7 = 23.1429  (x10)
440/19 = 23.1579  (x10)
255/11 = 23.1818  (x9)
255/11 = 23.1818  (x10)
116/5 = 23.2  (x10)
720/31 = 23.2258  (x8)
720/31 = 23.2258  (x9)
720/31 = 23.2258  (x10)
93/4 = 23.25  (x10)
1140/49 = 23.2653  (x9)
1140/49 = 23.2653  (x10)
1560/67 = 23.2836  (x10)
396/17 = 23.2941  (x10)
70/3 = 23.3333  (x7)
70/3 = 23.3333  (x9)
70/3 = 23.3333  (x10)
1800/77 = 23.3766  (x10)
1380/59 = 23.3898  (x10)
960/41 = 23.4146  (x9)
375/16 = 23.4375  (x10)
680/29 = 23.4483  (x10)
540/23 = 23.4783  (x8)
540/23 = 23.4783  (x9)
540/23 = 23.4783  (x10)
400/17 = 23.5294  (x10)
1860/79 = 23.5443  (x10)
165/7 = 23.5714  (x8)
165/7 = 23.5714  (x9)
165/7 = 23.5714  (x10)
260/11 = 23.6364  (x8)
260/11 = 23.6364  (x9)
260/11 = 23.6364  (x10)
1680/71 = 23.662  (x10)
450/19 = 23.6842  (x9)
450/19 = 23.6842  (x10)
1020/43 = 23.7209  (x10)
95/4 = 23.75  (x9)
1260/53 = 23.7736  (x9)
690/29 = 23.7931  (x10)
500/21 = 23.8095  (x10)
405/17 = 23.8235  (x10)
1740/73 = 23.8356  (x10)
310/13 = 23.8462  (x10)
24  (x4)
24  (x7)
24  (x9)
24  (x10)
1860/77 = 24.1558  (x10)
145/6 = 24.1667  (x10)
1620/67 = 24.1791  (x10)
750/31 = 24.1935  (x10)
460/19 = 24.2105  (x10)
315/13 = 24.2308  (x9)
1140/47 = 24.2553  (x9)
1140/47 = 24.2553  (x10)
170/7 = 24.2857  (x10)
900/37 = 24.3243  (x9)
900/37 = 24.3243  (x10)
560/23 = 24.3478  (x10)
195/8 = 24.375  (x8)
195/8 = 24.375  (x10)
1440/59 = 24.4068  (x10)
1050/43 = 24.4186  (x10)
220/9 = 24.4444  (x8)
220/9 = 24.4444  (x9)
465/19 = 24.4737  (x10)
1200/49 = 24.4898  (x10)
270/11 = 24.5455  (x8)
270/11 = 24.5455  (x9)
270/11 = 24.5455  (x10)
2040/83 = 24.5783  (x10)
1500/61 = 24.5902  (x10)
320/13 = 24.6154  (x9)
320/13 = 24.6154  (x10)
345/14 = 24.6429  (x10)
1800/73 = 24.6575  (x10)
420/17 = 24.7059  (x7)
420/17 = 24.7059  (x8)
420/17 = 24.7059  (x9)
420/17 = 24.7059  (x10)
99/4 = 24.75  (x10)
520/21 = 24.7619  (x10)
570/23 = 24.7826  (x9)
124/5 = 24.8  (x10)
720/29 = 24.8276  (x8)
720/29 = 24.8276  (x10)
174/7 = 24.8571  (x10)
1020/41 = 24.878  (x9)
1020/41 = 24.878  (x10)
1320/53 = 24.9057  (x9)
1320/53 = 24.9057  (x10)
324/13 = 24.9231  (x10)
1920/77 = 24.9351  (x10)
25  (x6)
25  (x9)
25  (x10)
1980/79 = 25.0633  (x10)
1680/67 = 25.0746  (x10)
276/11 = 25.0909  (x10)
1080/43 = 25.1163  (x9)
1080/43 = 25.1163  (x10)
930/37 = 25.1351  (x10)
780/31 = 25.1613  (x8)
780/31 = 25.1613  (x9)
680/27 = 25.1852  (x10)
126/5 = 25.2  (x9)
126/5 = 25.2  (x10)
580/23 = 25.2174  (x10)
480/19 = 25.2632  (x7)
480/19 = 25.2632  (x10)
405/16 = 25.3125  (x10)
76/3 = 25.3333  (x9)
76/3 = 25.3333  (x10)
1800/71 = 25.3521  (x10)
330/13 = 25.3846  (x8)
330/13 = 25.3846  (x10)
1500/59 = 25.4237  (x10)
280/11 = 25.4545  (x8)
280/11 = 25.4545  (x9)
280/11 = 25.4545  (x10)
51/2 = 25.5  (x9)
51/2 = 25.5  (x10)
1200/47 = 25.5319  (x9)
435/17 = 25.5882  (x10)
128/5 = 25.6  (x10)
180/7 = 25.7143  (x5)
180/7 = 25.7143  (x7)
180/7 = 25.7143  (x8)
180/7 = 25.7143  (x9)
180/7 = 25.7143  (x10)
2040/79 = 25.8228  (x10)
155/6 = 25.8333  (x10)
336/13 = 25.8462  (x10)
440/17 = 25.8824  (x10)
285/11 = 25.9091  (x9)
700/27 = 25.9259  (x10)
960/37 = 25.9459  (x9)
960/37 = 25.9459  (x10)
26  (x9)
26  (x10)
1380/53 = 26.0377  (x10)
495/19 = 26.0526  (x10)
600/23 = 26.087  (x8)
600/23 = 26.087  (x9)
600/23 = 26.087  (x10)
810/31 = 26.129  (x10)
340/13 = 26.1538  (x9)
288/11 = 26.1818  (x9)
288/11 = 26.1818  (x10)
1860/71 = 26.1972  (x10)
760/29 = 26.2069  (x10)
105/4 = 26.25  (x7)
105/4 = 26.25  (x10)
2340/89 = 26.2921  (x10)
500/19 = 26.3158  (x10)
1080/41 = 26.3415  (x9)
290/11 = 26.3636  (x10)
132/5 = 26.4  (x8)
1560/59 = 26.4407  (x10)
450/17 = 26.4706  (x8)
450/17 = 26.4706  (x9)
1140/43 = 26.5116  (x10)
345/13 = 26.5385  (x10)
1620/61 = 26.5574  (x10)
186/7 = 26.5714  (x10)
2100/79 = 26.5823  (x10)
80/3 = 26.6667  (x6)
80/3 = 26.6667  (x7)
80/3 = 26.6667  (x9)
80/3 = 26.6667  (x10)
990/37 = 26.7568  (x10)
375/14 = 26.7857  (x10)
1260/47 = 26.8085  (x9)
1260/47 = 26.8085  (x10)
456/17 = 26.8235  (x10)
510/19 = 26.8421  (x10)
1800/67 = 26.8657  (x10)
780/29 = 26.8966  (x9)
780/29 = 26.8966  (x10)
1320/49 = 26.9388  (x9)
1320/49 = 26.9388  (x10)
620/23 = 26.9565  (x10)
2400/89 = 26.9663  (x10)
27  (x8)
27  (x9)
27  (x10)
460/17 = 27.0588  (x10)
840/31 = 27.0968  (x8)
840/31 = 27.0968  (x9)
1980/73 = 27.1233  (x10)
190/7 = 27.1429  (x10)
435/16 = 27.1875  (x10)
136/5 = 27.2  (x10)
1170/43 = 27.2093  (x10)
300/11 = 27.2727  (x6)
300/11 = 27.2727  (x7)
300/11 = 27.2727  (x9)
300/11 = 27.2727  (x10)
520/19 = 27.3684  (x10)
630/23 = 27.3913  (x9)
192/7 = 27.4286  (x10)
2280/83 = 27.4699  (x10)
55/2 = 27.5  (x9)
1680/61 = 27.541  (x10)
1020/37 = 27.5676  (x9)
1020/37 = 27.5676  (x10)
580/21 = 27.619  (x10)
525/19 = 27.6316  (x10)
360/13 = 27.6923  (x6)
360/13 = 27.6923  (x8)
360/13 = 27.6923  (x9)
360/13 = 27.6923  (x10)
1140/41 = 27.8049  (x9)
195/7 = 27.8571  (x9)
195/7 = 27.8571  (x10)
1980/71 = 27.8873  (x10)
1200/43 = 27.907  (x9)
1200/43 = 27.907  (x10)
2040/73 = 27.9452  (x10)
28  (x8)
28  (x9)
28  (x10)
870/31 = 28.0645  (x10)
1320/47 = 28.0851  (x9)
2220/79 = 28.1013  (x10)
225/8 = 28.125  (x9)
225/8 = 28.125  (x10)
760/27 = 28.1481  (x10)
1380/49 = 28.1633  (x9)
310/11 = 28.1818  (x10)
2340/83 = 28.1928  (x10)
480/17 = 28.2353  (x8)
480/17 = 28.2353  (x10)
198/7 = 28.2857  (x10)
2520/89 = 28.3146  (x10)
85/3 = 28.3333  (x10)
312/11 = 28.3636  (x9)
312/11 = 28.3636  (x10)
1050/37 = 28.3784  (x10)
540/19 = 28.4211  (x7)
540/19 = 28.4211  (x10)
1680/59 = 28.4746  (x10)
57/2 = 28.5  (x9)
200/7 = 28.5714  (x7)
200/7 = 28.5714  (x10)
372/13 = 28.6154  (x10)
315/11 = 28.6364  (x9)
315/11 = 28.6364  (x10)
660/23 = 28.6957  (x8)
660/23 = 28.6957  (x9)
660/23 = 28.6957  (x10)
2040/71 = 28.7324  (x10)
2100/73 = 28.7671  (x10)
144/5 = 28.8  (x8)
144/5 = 28.8  (x9)
144/5 = 28.8  (x10)
2280/79 = 28.8608  (x10)
260/9 = 28.8889  (x8)
